iteration,score
0,0.9870979144574054
1,0.9858165429480382
2,0.9865235065394132
3,0.9867002474372569
4,0.9866560622127961
5,0.9839165782962177
6,0.9852863202545069
7,0.9840049487451396
8,0.9833863556026866
9,0.9870979144574054
10,0.9845351714386709
11,0.985949098621421
12,0.9877165075998587
13,0.9853746907034288
14,0.9866560622127961
15,0.9850212089077411
16,0.9869653587840226
17,0.9845351714386709
18,0.9848886532343585
19,0.9855072463768116
20,0.985860728172499
21,0.9869653587840226
22,0.9878932484977024
23,0.9875397667020148
24,0.9870095440084835
