,RF,XGB,LGB
0,0.9798983874530595,0.9893969516235918,0.9525071791473382
1,0.9816655621824608,0.9882924674177159,0.9412414402474044
2,0.982545293857711,0.9911621741051702,0.947635881573133
3,0.9814405656208572,0.9876270437472382,0.9359257622624835
4,0.980777728678745,0.9885108263367212,0.9452054794520548
Mean,0.9812655075585667,0.9889978926460874,0.9445031485364828
