Model,Acc_micro,Prec_micro,Rec_micro,F1_micro,Prec_macro,Rec_macro,F1_macro
RF,0.9812654648285614,0.9812654648285614,0.9812654648285614,0.9812654648285614,0.5400394287656385,0.3574369149391862,0.4108795230516938
XGB,0.9889978791092259,0.9889978791092259,0.9889978791092259,0.9889978791092259,0.733497380104398,0.6205045966521011,0.654668880459227
